name                      	  order	   size	  max_degree	  avg_degree	    density	  cvc_size	  vc_size	  local_ratio_vc_size
bio-WormNet-v3_lcc        	  16259	 762774	        1272	    93.8279 	0.00577118 	     12552	    12552	                12814
CL-100K-1d8-L9_lcc        	  92183	 436445	         230	     9.4691 	0.000102722	     43402	    43402	                45677
bcsstk17_lcc              	  10456	 208838	         149	    39.9461 	0.00382076 	     10185	    10185	                10453
RFdevice                  	  74104	 365551	         276	     9.86589	0.000133138	     66978	    66978	                66480
mark3jac120sc             	  54929	 276914	          60	    10.0826 	0.000183561	     43456	    43456	                50889
aft02                     	   8184	  59789	          81	    14.6112 	0.00178555 	      7953	     7953	                 8183
cage11                    	  39082	 260320	          30	    13.3217 	0.000340875	     37517	    37517	                39076
chem_master1              	  40401	  80400	           4	     3.9801 	9.85173e-05	     40399	    40399	                40400
brack2                    	  62631	 366559	          32	    11.7054 	0.000186897	     45379	    45379	                59386
bayer01                   	  57735	 277740	          54	     9.6212 	0.000166647	     48669	    48669	                45897
pkustk01                  	  22044	 478668	         125	    43.4284 	0.00197017 	     21274	    21274	                21786
COIL-DEL_lcc              	     77	    222	           9	     5.76623	0.0758715  	        62	       62	                   76
ibm_matrix_2              	  51448	 506556	        5670	    19.692  	0.000382762	     51362	    51362	                51427
c-62ghs                   	  41731	 258806	        5059	    12.4035 	0.000297233	     25861	    25861	                27004
tuma1                     	  22967	  37200	           5	     3.23943	0.000141053	     20671	    20671	                13360
2cubes_sphere             	 101492	 772886	          30	    15.2305 	0.000150067	     94354	    94354	               100038
bcircuit                  	  68902	 153328	          33	     4.45061	6.45943e-05	     55504	    55504	                64314
ckt11752_dc_1_lcc         	  49508	 143888	        2920	     5.81272	0.000117412	     39403	    39403	                39604
raefsky3                  	  21200	 733784	          79	    69.2249 	0.00326548 	     21197	    21197	                21199
rgg_n_2_16_s0_lcc         	  65532	 342127	          27	    10.4415 	0.000159337	     59332	    59332	                65076
epinions-rating           	  93192	1346871	       24195	    28.9053 	0.000310173	     40817	    40817	                39797
598a                      	 110971	 741934	          26	    13.3717 	0.000120498	    101759	   101759	               109815
c-71                      	  76638	 391458	        6719	    10.2158 	0.000133301	     45276	    45276	                46806
ia-enron-email-dynamic_lcc	  84384	 295889	        1726	     7.01292	8.31082e-05	      8280	     8280	                 9699
bcsstk32                  	  44609	 985046	         215	    44.1636 	0.000990037	     43452	    43452	                44472
SiO                       	  33401	 642127	         583	    38.4496 	0.00115118 	     32714	    32714	                33248
bcsstk35                  	  30237	 709963	         221	    46.9599 	0.00155311 	     29517	    29517	                30206
ecl32_lcc                 	  42341	 177033	          22	     8.36225	0.000197502	     40905	    40905	                41686
consph_lcc                	  79679	2963573	          80	    74.3878 	0.000933605	     79664	    79664	                79677
cop20k_A_lcc              	  99843	1262244	          80	    25.2846 	0.000253246	     96841	    96841	                96646
bio-SC-TS_lcc             	     67	   2211	          66	    66      	1          	        66	       66	                   66
fe-body_lcc               	  30581	 113424	          28	     7.41794	0.000242575	     25224	    25224	                30218
linux_lcc                 	  30817	 213208	        9338	    13.837  	0.000449021	     13860	    13860	                13949
soc-Epinions1_lcc         	  75877	 405739	        3044	    10.6947 	0.000140949	     25216	    25216	                26037
matrix_9                  	 103430	1012440	        4056	    19.5773 	0.000189282	    103418	   103418	               103428
onetone1                  	  36057	 319665	         164	    17.7311 	0.000491765	     30632	    30632	                30722
c-55                      	  32780	 185335	        2919	    11.3078 	0.000344971	     19502	    19502	                20014
k1_san_lcc                	  67758	 256410	          10	     7.56841	0.000111699	     47836	    47836	                46956
ca-citeseer               	 227320	 814134	        1372	     7.16289	3.15103e-05	    132441	   132441	               148499
helm3d01                  	  32226	 198109	          36	    12.295  	0.000381535	     24596	    24596	                24621
man_5976_lcc              	   5882	 109582	          50	    37.2601 	0.00633568 	      5709	     5709	                 5876
ca-HepPh_lcc              	  11204	 117619	         491	    20.9959 	0.00187413 	      6867	     6867	                 7843
